id_transaksi,tanggal,cabang,kategori_produk,nama_produk,harga_satuan,jumlah_terjual,total_penjualan,metode_pembayaran,jenis_kelamin_pelanggan,usia_pelanggan,rating_kepuasan,status_promo,biaya_iklan_harian
TRX00001,2026-03-26,Surabaya,Aksesoris,Mouse Wireless,1150000,5,5750000,Kredit,Perempuan,44,4,Tidak,340000
TRX00002,2026-06-20,Malang,Aksesoris,Mouse Wireless,1100000,4,4400000,Kredit,Laki-laki,55,4,Tidak,470000
TRX00003,2026-05-10,Bandung,Smartphone,Xiaomi Redmi Note 14,5700000,1,5700000,Debit,Laki-laki,34,2,Tidak,460000
TRX00004,2026-04-28,Bandung,Aksesoris,Keyboard Mechanical,200000,3,600000,E-Wallet,Perempuan,33,4,Tidak,450000
TRX00005,2026-06-27,Jakarta,Aksesoris,Headset Bluetooth,1200000,4,4800000,Debit,Laki-laki,19,1,Tidak,990000
TRX00006,2026-01-03,Bandung,Smartphone,Vivo V30,7800000,1,7800000,Tunai,Laki-laki,49,2,Tidak,440000
TRX00007,2026-03-12,Jakarta,Smartphone,Samsung Galaxy A15,9800000,2,22083000,Kredit,Laki-laki,24,4,Ya,1080000
TRX00008,2026-01-25,Malang,Elektronik Rumah Tangga,Air Fryer,7050000,3,21150000,Tunai,Laki-laki,25,5,Tidak,320000
TRX00009,2026-01-06,Bandung,Elektronik Rumah Tangga,Rice Cooker Digital,1500000,2,3000000,E-Wallet,Perempuan,34,5,Tidak,320000
TRX00010,2026-03-09,Jakarta,Aksesoris,Power Bank,650000,3,2145000,Debit,Laki-laki,59,3,Ya,670000
TRX00011,2026-04-01,Surabaya,Aksesoris,Power Bank,950000,1,950000,E-Wallet,Laki-laki,27,4,Tidak,560000
TRX00012,2026-03-14,Surabaya,Smartphone,Xiaomi Redmi Note 14,2400000,5,12000000,Debit,Perempuan,27,5,Tidak,610000
TRX00013,2026-01-10,Jakarta,Elektronik Rumah Tangga,Rice Cooker Digital,6450000,3,22289000,Debit,Laki-laki,52,4,Ya,1140000
TRX00014,2026-04-01,Jakarta,Aksesoris,Power Bank,1200000,3,3600000,Kredit,Perempuan,46,5,Tidak,830000
TRX00015,2026-06-11,Jakarta,Aksesoris,Headset Bluetooth,200000,4,994000,E-Wallet,Laki-laki,56,5,Ya,820000
TRX00016,2026-06-09,Malang,Laptop,Acer Aspire 5,17750000,1,17750000,E-Wallet,Laki-laki,47,2,Tidak,370000
TRX00017,2026-01-20,Surabaya,Elektronik Rumah Tangga,Air Fryer,3900000,3,14184000,Kredit,Perempuan,22,4,Ya,600000
TRX00018,2026-06-15,Bandung,Smartphone,Xiaomi Redmi Note 14,3150000,5,15750000,Kredit,Laki-laki,44,4,Tidak,390000
TRX00019,2026-02-03,Malang,Smartphone,Vivo V30,4300000,1,4300000,E-Wallet,Laki-laki,50,4,Tidak,370000
TRX00020,2026-03-25,Jakarta,Aksesoris,Headset Bluetooth,600000,6,4260000,Debit,Laki-laki,55,3,Ya,740000
TRX00021,2026-01-20,Bandung,Smartphone,Xiaomi Redmi Note 14,7850000,1,8690000,E-Wallet,Laki-laki,32,3,Ya,320000
TRX00022,2026-01-31,Jakarta,Aksesoris,Power Bank,800000,3,2400000,E-Wallet,Laki-laki,56,3,Tidak,760000
TRX00023,2026-03-01,Bandung,Elektronik Rumah Tangga,Air Fryer,2200000,1,2361000,Debit,Perempuan,29,5,Ya,360000
TRX00024,2026-05-30,Surabaya,Laptop,HP 14,12600000,2,25200000,Debit,Perempuan,45,4,Tidak,600000
TRX00025,2026-03-15,Malang,Laptop,HP 14,13100000,4,61775000,Tunai,Laki-laki,45,3,Ya,370000
