tanggal,cabang,kategori_produk,harga_satuan,jumlah,total_penjualan,metode_pembayaran,usia_pelanggan
2024-01-01,Jakarta,Smartphone,3662000,1,3662000,QRIS,37
2024-01-01,Malang,Smartphone,7197000,1,7197000,Kartu Kredit,30
2024-01-01,Malang,Smartphone,3655000,1,3655000,Kartu Kredit,34
2024-01-01,Malang,Smartphone,11370000,2,22740000,Kartu Kredit,17
2024-01-03,Malang,TV,11952000,1,11952000,Kartu Kredit,17
2024-01-03,Surabaya,Aksesoris,599000,1,599000,Kartu Debit,41
2024-01-03,Jakarta,Aksesoris,202000,1,202000,Tunai,27
2024-01-03,Surabaya,Smartphone,7152000,1,7152000,Tunai,39
2024-01-03,Surabaya,Aksesoris,254000,1,254000,QRIS,34
2024-01-05,Jakarta,TV,5282000,1,5282000,Tunai,34
2024-01-05,Surabaya,Laptop,14257000,1,5702800,Kartu Kredit,52
2024-01-05,Bandung,Laptop,13908000,1,13908000,Kartu Debit,46
2024-01-06,Jakarta,TV,7685000,1,7685000,QRIS,38
2024-01-06,Malang,Laptop,18372000,1,18372000,QRIS,33
2024-01-06,Surabaya,AC,5920000,2,11840000,Tunai,46
2024-01-08,Malang,Smartphone,11574000,1,11574000,Tunai,48
2024-01-08,Malang,Smartphone,9999000,1,9999000,Kartu Kredit,20
2024-01-08,Malang,Smartphone,4410000,1,4410000,Kartu Debit,47
2024-01-09,Malang,AC,8709000,1,8709000,Tunai,40
2024-01-10,Surabaya,Smartphone,3537000,1,3537000,Tunai,31
2024-01-11,Jakarta,Kulkas,6542000,2,13084000,Tunai,33
2024-01-12,Malang,TV,3999000,2,7998000,Kartu Kredit,21
2024-01-12,Surabaya,Kulkas,5158000,1,5158000,QRIS,26
2024-01-12,Malang,Aksesoris,50000,1,50000,Kartu Kredit,36
2024-01-12,Malang,Aksesoris,480000,1,480000,Kartu Debit,28
2024-01-12,Jakarta,Laptop,18726000,1,18726000,QRIS,46
2024-01-12,Jakarta,Aksesoris,538000,2,1076000,Tunai,42
2024-01-12,Malang,TV,7547000,1,7547000,QRIS,33
2024-01-13,Malang,Kulkas,7202000,1,7202000,QRIS,38
2024-01-13,Surabaya,Smartphone,10093000,2,20186000,Tunai,46
2024-01-14,Surabaya,TV,13100000,2,26200000,Kartu Kredit,51
2024-01-15,Malang,AC,3493000,2,6986000,Kartu Debit,44
2024-01-15,Malang,Aksesoris,520000,1,520000,QRIS,43
2024-01-16,Malang,Aksesoris,362000,2,724000,Tunai,45
2024-01-16,Jakarta,Kulkas,7406000,1,7406000,QRIS,32
2024-01-16,Jakarta,Smartphone,4570000,1,4570000,Tunai,43
2024-01-17,Malang,Aksesoris,512000,1,512000,Kartu Debit,17
2024-01-18,Jakarta,Aksesoris,262000,1,262000,Kartu Debit,50
2024-01-21,Jakarta,AC,4063000,1,4063000,Kartu Kredit,34
2024-01-22,Malang,Laptop,15622000,1,15622000,Kartu Debit,38
2024-01-22,Jakarta,TV,10760000,1,10760000,Kartu Debit,40
2024-01-22,Malang,Kulkas,2909000,1,2909000,Tunai,19
2024-01-23,Malang,TV,8418000,1,8418000,Kartu Debit,56
2024-01-23,Malang,Laptop,7723000,2,15446000,Kartu Debit,41
2024-01-24,Jakarta,Smartphone,4254000,1,4254000,QRIS,46
2024-01-24,Surabaya,Smartphone,10354000,1,10354000,QRIS,40
2024-01-25,Bandung,AC,7839000,1,7839000,Kartu Kredit,37
2024-01-25,Jakarta,TV,2780000,1,2780000,Kartu Debit,33
2024-01-25,Jakarta,Smartphone,9256000,1,9256000,Tunai,57
2024-01-26,Surabaya,Aksesoris,146000,1,146000,QRIS,62
2024-01-26,Surabaya,Aksesoris,59000,1,59000,Kartu Debit,69
2024-01-28,Surabaya,Kulkas,7691000,1,7691000,QRIS,30
2024-01-29,Surabaya,AC,3835000,1,3835000,Kartu Debit,45
2024-01-30,Surabaya,Smartphone,2233000,1,2233000,Kartu Debit,34
2024-01-30,Bandung,Smartphone,9036000,1,9036000,QRIS,43
2024-01-30,Jakarta,Aksesoris,546000,1,546000,Kartu Kredit,19
2024-01-31,Bandung,Smartphone,2176000,1,2176000,QRIS,25
2024-02-01,Surabaya,Aksesoris,572000,1,572000,QRIS,27
2024-02-02,Bandung,Smartphone,10766000,1,10766000,QRIS,32
2024-02-02,Jakarta,Smartphone,4655000,1,4655000,QRIS,23
2024-02-02,Malang,AC,5507000,1,5507000,Kartu Kredit,21
2024-02-03,Surabaya,TV,13054000,1,13054000,Kartu Debit,33
2024-02-03,Surabaya,Laptop,14732000,1,5892800,Kartu Debit,19
2024-02-03,Malang,Smartphone,2871000,1,2871000,Kartu Debit,46
2024-02-03,Malang,Aksesoris,78000,2,156000,Kartu Debit,22
2024-02-04,Surabaya,TV,4940000,1,4940000,QRIS,33
2024-02-05,Surabaya,AC,3641000,1,3641000,QRIS,24
2024-02-06,Malang,Kulkas,3380000,1,3380000,QRIS,17
2024-02-06,Surabaya,Smartphone,3616000,1,3616000,Kartu Kredit,20
2024-02-07,Jakarta,Kulkas,5305000,1,5305000,Kartu Debit,44
2024-02-08,Bandung,Aksesoris,441000,1,441000,Tunai,52
2024-02-08,Malang,Smartphone,6685000,2,13370000,QRIS,49
2024-02-08,Malang,AC,5972000,1,5972000,Kartu Debit,45
2024-02-08,Malang,Aksesoris,468000,1,468000,Tunai,50
2024-02-09,Malang,Aksesoris,437000,2,874000,Kartu Debit,42
2024-02-10,Surabaya,Smartphone,3867000,1,3867000,QRIS,56
2024-02-10,Surabaya,Smartphone,5842000,1,5842000,Kartu Debit,17
2024-02-10,Surabaya,TV,13754000,1,13754000,QRIS,36
2024-02-11,Surabaya,TV,12023000,2,24046000,Kartu Debit,35
2024-02-12,Malang,Smartphone,7846000,1,7846000,Kartu Debit,27
2024-02-12,Malang,TV,14750000,1,14750000,QRIS,43
2024-02-13,Surabaya,Smartphone,5220000,1,5220000,QRIS,25
2024-02-13,Malang,Kulkas,3626000,1,3626000,Kartu Kredit,19
2024-02-14,Jakarta,TV,12872000,1,12872000,QRIS,17
2024-02-14,Malang,Smartphone,6220000,1,6220000,Kartu Debit,25
2024-02-14,Malang,Smartphone,4897000,1,4897000,Tunai,26
2024-02-15,Jakarta,Kulkas,3240000,1,3240000,QRIS,47
2024-02-15,Malang,Aksesoris,610000,2,1220000,QRIS,36
2024-02-15,Surabaya,TV,11469000,1,11469000,Tunai,24
2024-02-16,Bandung,Laptop,5262000,1,5262000,Kartu Kredit,19
2024-02-16,Malang,Kulkas,2512000,1,2512000,Kartu Debit,35
2024-02-16,Surabaya,Smartphone,3201000,1,3201000,QRIS,31
2024-02-16,Malang,Smartphone,2762000,2,5524000,Kartu Debit,17
2024-02-16,Surabaya,Kulkas,2532000,3,7596000,Kartu Debit,36
